model_id,model_label,model_name,config_file,batch_size,context_tokens,context_label,official_max_context_tokens,is_extrapolated,active_parameters,parameter_flops_per_token,attention_flops_per_token,index_flops_per_token,state_flops_per_token,extra_flops_per_token,total_flops_per_token,weight_read_bytes_per_token,kv_read_bytes_per_token,kv_write_bytes_per_token,index_read_bytes_per_token,index_write_bytes_per_token,state_read_bytes_per_token,state_write_bytes_per_token,activation_bytes_per_token,other_read_bytes_per_token,total_bytes_per_token,bytes_per_flop,tbps_per_pflops,kv_cache_bytes_per_request,index_cache_bytes_per_request,state_cache_bytes_per_request,total_cache_bytes_per_request,expert_weight_sets_read
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,128,128,131072,false,36624596992.0,73249193984.0,2174746624.0,0.0,0.0,0.0,75423940608.0,18312298496.0,2248704.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,18314568352.0,0.24282168505602353,242.82168505602354,2248704.0,0.0,0.0,2248704.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,256,256,131072,false,36624596992.0,73249193984.0,4349493248.0,0.0,0.0,0.0,77598687232.0,18312298496.0,4497408.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,18316817056.0,0.23604545011486414,236.04545011486414,4497408.0,0.0,0.0,4497408.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,512,512,131072,false,36624596992.0,73249193984.0,8698986496.0,0.0,0.0,0.0,81948180480.0,18312298496.0,8994816.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,18321314464.0,0.22357194945251332,223.57194945251334,8994816.0,0.0,0.0,8994816.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,1024,1K,131072,false,36624596992.0,73249193984.0,17397972992.0,0.0,0.0,0.0,90647166976.0,18312298496.0,17989632.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,18330309280.0,0.2022160194466219,202.2160194466219,17989632.0,0.0,0.0,17989632.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,2048,2K,131072,false,36624596992.0,73249193984.0,34795945984.0,0.0,0.0,0.0,108045139968.0,18312298496.0,35979264.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,18348298912.0,0.16982067788920688,169.82067788920688,35979264.0,0.0,0.0,35979264.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,4096,4K,131072,false,36624596992.0,73249193984.0,69591891968.0,0.0,0.0,0.0,142841085952.0,18312298496.0,71958528.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,18384278176.0,0.12870441339390132,128.70441339390132,71958528.0,0.0,0.0,71958528.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,8192,8K,131072,false,36624596992.0,73249193984.0,139183783936.0,0.0,0.0,0.0,212432977920.0,18312298496.0,143917056.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,18456236704.0,0.08688028047580457,86.88028047580457,143917056.0,0.0,0.0,143917056.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,16384,16K,131072,false,36624596992.0,73249193984.0,278367567872.0,0.0,0.0,0.0,351616761856.0,18312298496.0,287834112.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,18600153760.0,0.05289893935038696,52.89893935038696,287834112.0,0.0,0.0,287834112.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,32768,32K,131072,false,36624596992.0,73249193984.0,556735135744.0,0.0,0.0,0.0,629984329728.0,18312298496.0,575668224.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,18887987872.0,0.02998167887787783,29.98167887787783,575668224.0,0.0,0.0,575668224.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,65536,64K,131072,false,36624596992.0,73249193984.0,1113470271488.0,0.0,0.0,0.0,1186719465472.0,18312298496.0,1151336448.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,19463656096.0,0.016401227638293284,16.401227638293285,1151336448.0,0.0,0.0,1151336448.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,131072,128K,131072,false,36624596992.0,73249193984.0,2226940542976.0,0.0,0.0,0.0,2300189736960.0,18312298496.0,2302672896.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,20614992544.0,0.008962300897510043,8.962300897510044,2302672896.0,0.0,0.0,2302672896.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,262144,256K,131072,true,36624596992.0,73249193984.0,4453881085952.0,0.0,0.0,0.0,4527130279936.0,18312298496.0,4605345792.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,22917665440.0,0.005062294217944173,5.0622942179441734,4605345792.0,0.0,0.0,4605345792.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,524288,512K,131072,true,36624596992.0,73249193984.0,8907762171904.0,0.0,0.0,0.0,8981011365888.0,18312298496.0,9210691584.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,27523011232.0,0.0030645781539191553,3.0645781539191552,9210691584.0,0.0,0.0,9210691584.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,1,1048576,1024K,131072,true,36624596992.0,73249193984.0,17815524343808.0,0.0,0.0,0.0,17888773537792.0,18312298496.0,18421383168.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,36733702816.0,0.002053450044431275,2.0534500444312753,18421383168.0,0.0,0.0,18421383168.0,"{""routed_ffn_experts"":8.0}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,128,128,131072,false,36624596992.0,73249193984.0,2174746624.0,0.0,0.0,0.0,75423940608.0,6771056086.796417,2248704.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,6773325942.796417,0.08980339515803541,89.80339515803541,2248704.0,0.0,0.0,2248704.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,256,256,131072,false,36624596992.0,73249193984.0,4349493248.0,0.0,0.0,0.0,77598687232.0,6771056086.796417,4497408.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,6775574646.796417,0.08731558340077586,87.31558340077586,4497408.0,0.0,0.0,4497408.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,512,512,131072,false,36624596992.0,73249193984.0,8698986496.0,0.0,0.0,0.0,81948180480.0,6771056086.796417,8994816.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,6780072054.796417,0.08273609023511069,82.7360902351107,8994816.0,0.0,0.0,8994816.0,"{""routed_ffn_experts"":163.31384595038296}"
