precision_bits,profile,model_id,model_label,model_name,config_file,trace_id,x_value,official_max_context_tokens,is_extrapolated,phase,experiment,execution_mode,logits_mode,include_self_attention,batch,prompt_lengths,cached_lengths,average_prompt_tokens,max_prompt_tokens,valid_input_tokens,executed_input_tokens,valid_causal_pair_slots,executed_causal_pair_slots,valid_logit_positions,executed_logit_positions,output_head_parameters,output_head_parameters_configured,output_head_weight_bits,topk_cached_prefix_union_policy,token_efficiency,causal_pair_efficiency,total_flops,total_compulsory_bytes,total_operand_bytes,flops_per_input_token,compulsory_bytes_per_input_token,operand_bytes_per_input_token,bytes_per_flop,tbps_per_pflops,operand_bytes_per_flop,operand_tbps_per_pflops,cache_bytes_total,kv_cache_bytes_total,index_cache_bytes_total,state_cache_bytes_total,cache_bytes_per_request,kv_cache_bytes_per_request,index_cache_bytes_per_request,state_cache_bytes_per_request,expert_weight_sets_read,useful_expert_weight_sets_read,batch_parameter_flops,batch_attention_flops,batch_index_flops,batch_state_flops,batch_extra_flops,batch_weight_read_bytes,batch_kv_read_bytes,batch_kv_write_bytes,batch_index_read_bytes,batch_index_write_bytes,batch_state_read_bytes,batch_state_write_bytes,batch_activation_bytes,batch_other_read_bytes,batch_total_flops,batch_total_bytes,useful_parameter_flops,useful_attention_flops,useful_index_flops,useful_state_flops,useful_extra_flops,useful_weight_read_bytes,useful_kv_read_bytes,useful_kv_write_bytes,useful_index_read_bytes,useful_index_write_bytes,useful_state_read_bytes,useful_state_write_bytes,useful_activation_bytes,useful_other_read_bytes,useful_total_flops,useful_total_bytes,per_input_parameter_flops,per_input_attention_flops,per_input_index_flops,per_input_state_flops,per_input_extra_flops,per_input_weight_read_bytes,per_input_kv_read_bytes,per_input_kv_write_bytes,per_input_index_read_bytes,per_input_index_write_bytes,per_input_state_read_bytes,per_input_state_write_bytes,per_input_activation_bytes,per_input_other_read_bytes,per_input_total_flops,per_input_total_bytes,batch_operand_parameter_flops,batch_operand_attention_flops,batch_operand_index_flops,batch_operand_state_flops,batch_operand_extra_flops,batch_operand_weight_read_bytes,batch_operand_kv_read_bytes,batch_operand_kv_write_bytes,batch_operand_index_read_bytes,batch_operand_index_write_bytes,batch_operand_state_read_bytes,batch_operand_state_write_bytes,batch_operand_activation_bytes,batch_operand_other_read_bytes,batch_operand_total_flops,batch_operand_total_bytes,useful_operand_parameter_flops,useful_operand_attention_flops,useful_operand_index_flops,useful_operand_state_flops,useful_operand_extra_flops,useful_operand_weight_read_bytes,useful_operand_kv_read_bytes,useful_operand_kv_write_bytes,useful_operand_index_read_bytes,useful_operand_index_write_bytes,useful_operand_state_read_bytes,useful_operand_state_write_bytes,useful_operand_activation_bytes,useful_operand_other_read_bytes,useful_operand_total_flops,useful_operand_total_bytes,per_input_operand_parameter_flops,per_input_operand_attention_flops,per_input_operand_index_flops,per_input_operand_state_flops,per_input_operand_extra_flops,per_input_operand_weight_read_bytes,per_input_operand_kv_read_bytes,per_input_operand_kv_write_bytes,per_input_operand_index_read_bytes,per_input_operand_index_write_bytes,per_input_operand_state_read_bytes,per_input_operand_state_write_bytes,per_input_operand_activation_bytes,per_input_operand_other_read_bytes,per_input_operand_total_flops,per_input_operand_total_bytes
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B1_L128,128,131072,false,prefill,equal,varlen,last,True,1,[128],[0],128.0,128,128,128,8256.0,8256.0,1,1,926679040.0,True,16.0,not_applicable,1.0,1.0,9280791511040.0,1317736007619.808,1318316173251.808,72506183680.0,10294812559.52975,10299345103.52975,0.14198530438403775,141.98530438403776,0.14204781690048746,142.04781690048745,8994816.0,8994816.0,0.0,0.0,8994816.0,8994816.0,0.0,0.0,"{""routed_ffn_experts"":251.60114596587061}","{""routed_ffn_experts"":251.60114596587061}",9140520353792.0,140271157248.0,0.0,0.0,0.0,1317725177795.808,0.0,8994816.0,0.0,0.0,0.0,0.0,0.0,1835008.0,9280791511040.0,1317736007619.808,9140520353792.0,140271157248.0,0.0,0.0,0.0,1317725177795.808,0.0,8994816.0,0.0,0.0,0.0,0.0,0.0,1835008.0,9280791511040.0,1317736007619.808,71410315264.0,1095868416.0,0.0,0.0,0.0,10294727951.52975,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,72506183680.0,10294812559.52975,9140520353792.0,140271157248.0,0.0,0.0,0.0,1317725177795.808,580165632.0,8994816.0,0.0,0.0,0.0,0.0,0.0,1835008.0,9280791511040.0,1318316173251.808,9140520353792.0,140271157248.0,0.0,0.0,0.0,1317725177795.808,580165632.0,8994816.0,0.0,0.0,0.0,0.0,0.0,1835008.0,9280791511040.0,1318316173251.808,71410315264.0,1095868416.0,0.0,0.0,0.0,10294727951.52975,4532544.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,72506183680.0,10299345103.52975
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B1_L512,512,131072,false,prefill,equal,varlen,last,True,1,[512],[0],512.0,512,512,512,131328.0,131328.0,1,1,926679040.0,True,16.0,not_applicable,1.0,1.0,38787811377152.0,1340240642725.329,1349469323941.329,75757444096.0,2617657505.3229084,2635682273.3229084,0.03455313912129621,34.55313912129621,0.03479106647239796,34.791066472397965,35979264.0,35979264.0,0.0,0.0,35979264.0,35979264.0,0.0,0.0,"{""routed_ffn_experts"":255.9999776828718}","{""routed_ffn_experts"":255.9999776828718}",36556521340928.0,2231290036224.0,0.0,0.0,0.0,1340197323429.329,0.0,35979264.0,0.0,0.0,0.0,0.0,0.0,7340032.0,38787811377152.0,1340240642725.329,36556521340928.0,2231290036224.0,0.0,0.0,0.0,1340197323429.329,0.0,35979264.0,0.0,0.0,0.0,0.0,0.0,7340032.0,38787811377152.0,1340240642725.329,71399455744.0,4357988352.0,0.0,0.0,0.0,2617572897.3229084,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,75757444096.0,2617657505.3229084,36556521340928.0,2231290036224.0,0.0,0.0,0.0,1340197323429.329,9228681216.0,35979264.0,0.0,0.0,0.0,0.0,0.0,7340032.0,38787811377152.0,1349469323941.329,36556521340928.0,2231290036224.0,0.0,0.0,0.0,1340197323429.329,9228681216.0,35979264.0,0.0,0.0,0.0,0.0,0.0,7340032.0,38787811377152.0,1349469323941.329,71399455744.0,4357988352.0,0.0,0.0,0.0,2617572897.3229084,18024768.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,75757444096.0,2635682273.3229084
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B1_L2048,2048,131072,false,prefill,equal,varlen,last,True,1,[2048],[0],2048.0,2048,2048,2048,2098176.0,2098176.0,1,1,926679040.0,True,16.0,not_applicable,1.0,1.0,181868971950080.0,1340370714624.0,1487813738496.0,88803208960.0,654477888.0,726471552.0,0.007369980157978291,7.369980157978291,0.008180690320855721,8.180690320855721,143917056.0,143917056.0,0.0,0.0,143917056.0,143917056.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",146220525289472.0,35648446660608.0,0.0,0.0,0.0,1340197437440.0,0.0,143917056.0,0.0,0.0,0.0,0.0,0.0,29360128.0,181868971950080.0,1340370714624.0,146220525289472.0,35648446660608.0,0.0,0.0,0.0,1340197437440.0,0.0,143917056.0,0.0,0.0,0.0,0.0,0.0,29360128.0,181868971950080.0,1340370714624.0,71396740864.0,17406468096.0,0.0,0.0,0.0,654393280.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,88803208960.0,654477888.0,146220525289472.0,35648446660608.0,0.0,0.0,0.0,1340197437440.0,147443023872.0,143917056.0,0.0,0.0,0.0,0.0,0.0,29360128.0,181868971950080.0,1487813738496.0,146220525289472.0,35648446660608.0,0.0,0.0,0.0,1340197437440.0,147443023872.0,143917056.0,0.0,0.0,0.0,0.0,0.0,29360128.0,181868971950080.0,1487813738496.0,71396740864.0,17406468096.0,0.0,0.0,0.0,654393280.0,71993664.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,88803208960.0,726471552.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B1_L8192,8192,131072,false,prefill,equal,varlen,last,True,1,[8192],[0],8192.0,8192,8192,8192,33558528.0,33558528.0,1,1,926679040.0,True,16.0,not_applicable,1.0,1.0,1155042911977472.0,1340890546176.0,3699115425792.0,140996449216.0,163682928.0,451552176.0,0.0011609010646023105,1.1609010646023106,0.0032025783522267506,3.2025783522267504,575668224.0,575668224.0,0.0,0.0,575668224.0,575668224.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",584876541083648.0,570166370893824.0,0.0,0.0,0.0,1340197437440.0,0.0,575668224.0,0.0,0.0,0.0,0.0,0.0,117440512.0,1155042911977472.0,1340890546176.0,584876541083648.0,570166370893824.0,0.0,0.0,0.0,1340197437440.0,0.0,575668224.0,0.0,0.0,0.0,0.0,0.0,117440512.0,1155042911977472.0,1340890546176.0,71396062144.0,69600387072.0,0.0,0.0,0.0,163598320.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,140996449216.0,163682928.0,584876541083648.0,570166370893824.0,0.0,0.0,0.0,1340197437440.0,2358224879616.0,575668224.0,0.0,0.0,0.0,0.0,0.0,117440512.0,1155042911977472.0,3699115425792.0,584876541083648.0,570166370893824.0,0.0,0.0,0.0,1340197437440.0,2358224879616.0,575668224.0,0.0,0.0,0.0,0.0,0.0,117440512.0,1155042911977472.0,3699115425792.0,71396062144.0,69600387072.0,0.0,0.0,0.0,163598320.0,287869248.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,140996449216.0,451552176.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B32_L128,128,131072,false,prefill,equal,varlen,last,True,32,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",128.0,128,4096,4096,264192.0,264192.0,32,32,926679040.0,True,16.0,not_applicable,1.0,1.0,296985328353280.0,1340543991808.0,1359109292032.0,72506183680.0,327281248.0,331813792.0,0.004513839115356402,4.513839115356402,0.0045763516318060886,4.576351631806088,287834112.0,287834112.0,0.0,0.0,8994816.0,8994816.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",292496651321344.0,4488677031936.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,296985328353280.0,1340543991808.0,292496651321344.0,4488677031936.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,296985328353280.0,1340543991808.0,71410315264.0,1095868416.0,0.0,0.0,0.0,327196640.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,72506183680.0,327281248.0,292496651321344.0,4488677031936.0,0.0,0.0,0.0,1340197437440.0,18565300224.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,296985328353280.0,1359109292032.0,292496651321344.0,4488677031936.0,0.0,0.0,0.0,1340197437440.0,18565300224.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,296985328353280.0,1359109292032.0,71410315264.0,1095868416.0,0.0,0.0,0.0,327196640.0,4532544.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,72506183680.0,331813792.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B32_L512,512,131072,false,prefill,equal,varlen,last,True,32,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",512.0,512,16384,16384,4202496.0,4202496.0,32,32,926679040.0,True,16.0,not_applicable,1.0,1.0,1241209964068864.0,1341583654912.0,1636901453824.0,75757444096.0,81883768.0,99908536.0,0.0010808676160752825,1.0808676160752826,0.00131879496717703,1.31879496717703,1151336448.0,1151336448.0,0.0,0.0,35979264.0,35979264.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",1169808682909696.0,71401281159168.0,0.0,0.0,0.0,1340197437440.0,0.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1241209964068864.0,1341583654912.0,1169808682909696.0,71401281159168.0,0.0,0.0,0.0,1340197437440.0,0.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1241209964068864.0,1341583654912.0,71399455744.0,4357988352.0,0.0,0.0,0.0,81799160.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,75757444096.0,81883768.0,1169808682909696.0,71401281159168.0,0.0,0.0,0.0,1340197437440.0,295317798912.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1241209964068864.0,1636901453824.0,1169808682909696.0,71401281159168.0,0.0,0.0,0.0,1340197437440.0,295317798912.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1241209964068864.0,1636901453824.0,71399455744.0,4357988352.0,0.0,0.0,0.0,81799160.0,18024768.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,75757444096.0,99908536.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B32_L2048,2048,131072,false,prefill,equal,varlen,last,True,32,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2048.0,2048,65536,65536,67141632.0,67141632.0,32,32,926679040.0,True,16.0,not_applicable,1.0,1.0,5819807102402560.0,1345742307328.0,6063919071232.0,88803208960.0,20534398.0,92528062.0,0.000231234864601001,0.231234864601001,0.0010419450274784304,1.0419450274784303,4605345792.0,4605345792.0,0.0,0.0,143917056.0,143917056.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",4679056809263104.0,1140750293139456.0,0.0,0.0,0.0,1340197437440.0,0.0,4605345792.0,0.0,0.0,0.0,0.0,0.0,939524096.0,5819807102402560.0,1345742307328.0,4679056809263104.0,1140750293139456.0,0.0,0.0,0.0,1340197437440.0,0.0,4605345792.0,0.0,0.0,0.0,0.0,0.0,939524096.0,5819807102402560.0,1345742307328.0,71396740864.0,17406468096.0,0.0,0.0,0.0,20449790.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,88803208960.0,20534398.0,4679056809263104.0,1140750293139456.0,0.0,0.0,0.0,1340197437440.0,4718176763904.0,4605345792.0,0.0,0.0,0.0,0.0,0.0,939524096.0,5819807102402560.0,6063919071232.0,4679056809263104.0,1140750293139456.0,0.0,0.0,0.0,1340197437440.0,4718176763904.0,4605345792.0,0.0,0.0,0.0,0.0,0.0,939524096.0,5819807102402560.0,6063919071232.0,71396740864.0,17406468096.0,0.0,0.0,0.0,20449790.0,71993664.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,88803208960.0,92528062.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B32_L8192,8192,131072,false,prefill,equal,varlen,last,True,32,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8192.0,8192,262144,262144,1073872896.0,1073872896.0,32,32,926679040.0,True,16.0,not_applicable,1.0,1.0,3.69613731832791e+16,1362376916992.0,76825573064704.0,140996449216.0,5197055.5,293066303.5,3.685947787265446e-05,0.03685947787265446,0.0020785367654970947,2.0785367654970948,18421383168.0,18421383168.0,0.0,0.0,575668224.0,575668224.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",1.8716049314676736e+16,1.824532386860237e+16,0.0,0.0,0.0,1340197437440.0,0.0,18421383168.0,0.0,0.0,0.0,0.0,0.0,3758096384.0,3.69613731832791e+16,1362376916992.0,1.8716049314676736e+16,1.824532386860237e+16,0.0,0.0,0.0,1340197437440.0,0.0,18421383168.0,0.0,0.0,0.0,0.0,0.0,3758096384.0,3.69613731832791e+16,1362376916992.0,71396062144.0,69600387072.0,0.0,0.0,0.0,5112447.5,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,140996449216.0,5197055.5,1.8716049314676736e+16,1.824532386860237e+16,0.0,0.0,0.0,1340197437440.0,75463196147712.0,18421383168.0,0.0,0.0,0.0,0.0,0.0,3758096384.0,3.69613731832791e+16,76825573064704.0,1.8716049314676736e+16,1.824532386860237e+16,0.0,0.0,0.0,1340197437440.0,75463196147712.0,18421383168.0,0.0,0.0,0.0,0.0,0.0,3758096384.0,3.69613731832791e+16,76825573064704.0,71396062144.0,69600387072.0,0.0,0.0,0.0,5112447.5,287869248.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,140996449216.0,293066303.5
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B1,1,131072,false,prefill,token-budget,varlen,last,True,1,[4096],[0],4096.0,4096,4096,4096,8390656.0,8390656.0,1,1,926679040.0,True,16.0,not_applicable,1.0,1.0,434998187917312.0,1340543991808.0,1930172170240.0,106200729472.0,327281248.0,471233440.0,0.00308172316355217,3.08172316355217,0.00443719588691,4.43719588691,287834112.0,287834112.0,0.0,0.0,287834112.0,287834112.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",292439197220864.0,142558990696448.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,434998187917312.0,1340543991808.0,292439197220864.0,142558990696448.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,434998187917312.0,1340543991808.0,71396288384.0,34804441088.0,0.0,0.0,0.0,327196640.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,106200729472.0,327281248.0,292439197220864.0,142558990696448.0,0.0,0.0,0.0,1340197437440.0,589628178432.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,434998187917312.0,1930172170240.0,292439197220864.0,142558990696448.0,0.0,0.0,0.0,1340197437440.0,589628178432.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,434998187917312.0,1930172170240.0,71396288384.0,34804441088.0,0.0,0.0,0.0,327196640.0,143952192.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,106200729472.0,471233440.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B4,4,131072,false,prefill,token-budget,varlen,last,True,4,"[1024, 1024, 1024, 1024]","[0, 0, 0, 0]",1024.0,1024,4096,4096,2099200.0,2099200.0,4,4,926679040.0,True,16.0,not_applicable,1.0,1.0,328110601928704.0,1340543991808.0,1488058974208.0,80105127424.0,327281248.0,363295648.0,0.0040856466811130055,4.085646681113006,0.0045352358791848615,4.535235879184862,287834112.0,287834112.0,0.0,0.0,71958528.0,71958528.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",292444757295104.0,35665844633600.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,328110601928704.0,1340543991808.0,292444757295104.0,35665844633600.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,328110601928704.0,1340543991808.0,71397645824.0,8707481600.0,0.0,0.0,0.0,327196640.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,80105127424.0,327281248.0,292444757295104.0,35665844633600.0,0.0,0.0,0.0,1340197437440.0,147514982400.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,328110601928704.0,1488058974208.0,292444757295104.0,35665844633600.0,0.0,0.0,0.0,1340197437440.0,147514982400.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,328110601928704.0,1488058974208.0,71397645824.0,8707481600.0,0.0,0.0,0.0,327196640.0,36014400.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,80105127424.0,363295648.0
