precision_bits,profile,model_id,model_label,model_name,config_file,trace_id,x_value,official_max_context_tokens,is_extrapolated,experiment,execution_mode,logits_mode,include_self_attention,batch,prompt_length,token_budget,ragged_trace_index,prompt_lengths,valid_input_tokens,executed_input_tokens,valid_causal_pair_slots,executed_causal_pair_slots,valid_logit_positions,executed_logit_positions,token_efficiency,causal_pair_efficiency,total_flops,total_compulsory_bytes,total_operand_bytes,flops_per_input_token,compulsory_bytes_per_input_token,operand_bytes_per_input_token,bytes_per_flop,tbps_per_pflops,operand_bytes_per_flop,operand_tbps_per_pflops,cache_bytes_total,cache_bytes_per_request
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B1_L128,128,131072,false,equal,varlen,last,True,1,128,,,[128],128,128,8256.0,8256.0,1,1,1.0,1.0,9280791511040.0,1317736007619.808,1318316173251.808,72506183680.0,10294812559.52975,10299345103.52975,0.14198530438403775,141.98530438403776,0.14204781690048746,142.04781690048745,8994816.0,8994816.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B1_L512,512,131072,false,equal,varlen,last,True,1,512,,,[512],512,512,131328.0,131328.0,1,1,1.0,1.0,38787811377152.0,1340240642725.329,1349469323941.329,75757444096.0,2617657505.3229084,2635682273.3229084,0.03455313912129621,34.55313912129621,0.03479106647239796,34.791066472397965,35979264.0,35979264.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B1_L2048,2048,131072,false,equal,varlen,last,True,1,2048,,,[2048],2048,2048,2098176.0,2098176.0,1,1,1.0,1.0,181868971950080.0,1340370714624.0,1487813738496.0,88803208960.0,654477888.0,726471552.0,0.007369980157978291,7.369980157978291,0.008180690320855721,8.180690320855721,143917056.0,143917056.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B1_L8192,8192,131072,false,equal,varlen,last,True,1,8192,,,[8192],8192,8192,33558528.0,33558528.0,1,1,1.0,1.0,1155042911977472.0,1340890546176.0,3699115425792.0,140996449216.0,163682928.0,451552176.0,0.0011609010646023105,1.1609010646023106,0.0032025783522267506,3.2025783522267504,575668224.0,575668224.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B32_L128,128,131072,false,equal,varlen,last,True,32,128,,,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",4096,4096,264192.0,264192.0,32,32,1.0,1.0,296985328353280.0,1340543991808.0,1359109292032.0,72506183680.0,327281248.0,331813792.0,0.004513839115356402,4.513839115356402,0.0045763516318060886,4.576351631806088,287834112.0,8994816.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B32_L512,512,131072,false,equal,varlen,last,True,32,512,,,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",16384,16384,4202496.0,4202496.0,32,32,1.0,1.0,1241209964068864.0,1341583654912.0,1636901453824.0,75757444096.0,81883768.0,99908536.0,0.0010808676160752825,1.0808676160752826,0.00131879496717703,1.31879496717703,1151336448.0,35979264.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B32_L2048,2048,131072,false,equal,varlen,last,True,32,2048,,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",65536,65536,67141632.0,67141632.0,32,32,1.0,1.0,5819807102402560.0,1345742307328.0,6063919071232.0,88803208960.0,20534398.0,92528062.0,0.000231234864601001,0.231234864601001,0.0010419450274784304,1.0419450274784303,4605345792.0,143917056.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,equal_B32_L8192,8192,131072,false,equal,varlen,last,True,32,8192,,,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",262144,262144,1073872896.0,1073872896.0,32,32,1.0,1.0,3.69613731832791e+16,1362376916992.0,76825573064704.0,140996449216.0,5197055.5,293066303.5,3.685947787265446e-05,0.03685947787265446,0.0020785367654970947,2.0785367654970948,18421383168.0,575668224.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B1,1,131072,false,token-budget,varlen,last,True,1,,4096,,[4096],4096,4096,8390656.0,8390656.0,1,1,1.0,1.0,434998187917312.0,1340543991808.0,1930172170240.0,106200729472.0,327281248.0,471233440.0,0.00308172316355217,3.08172316355217,0.00443719588691,4.43719588691,287834112.0,287834112.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B4,4,131072,false,token-budget,varlen,last,True,4,,4096,,"[1024, 1024, 1024, 1024]",4096,4096,2099200.0,2099200.0,4,4,1.0,1.0,328110601928704.0,1340543991808.0,1488058974208.0,80105127424.0,327281248.0,363295648.0,0.0040856466811130055,4.085646681113006,0.0045352358791848615,4.535235879184862,287834112.0,71958528.0
