precision_bits,profile,model_id,model_label,model_name,config_file,trace_id,x_value,official_max_context_tokens,is_extrapolated,experiment,execution_mode,logits_mode,include_self_attention,batch,prompt_length,token_budget,ragged_trace_index,prompt_lengths,valid_input_tokens,executed_input_tokens,valid_causal_pair_slots,executed_causal_pair_slots,valid_logit_positions,executed_logit_positions,token_efficiency,causal_pair_efficiency,total_flops,total_compulsory_bytes,total_operand_bytes,flops_per_input_token,compulsory_bytes_per_input_token,operand_bytes_per_input_token,bytes_per_flop,tbps_per_pflops,operand_bytes_per_flop,operand_tbps_per_pflops,cache_bytes_total,cache_bytes_per_request
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,ragged_R1,1,131072,false,ragged,padded,last,True,4,,,1,"[128, 512, 2048, 64]",2752,8192,2239840.0,8392704.0,4,4,0.3359375,0.26687942288921424,727475887800320.0,1340508266496.0,1930280361984.0,264344435973.9535,487103294.5116279,701410015.2558141,0.0018426841204996023,1.8426841204996023,0.002653394283377032,2.6533942833770316,193388544.0,48347136.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,ragged_R2,2,131072,false,ragged,padded,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,16384,8981248.0,33562624.0,4,4,0.34375,0.26759671711008054,1739992751669248.0,1340828090368.0,3699340804096.0,308947576645.8182,238073169.45454544,656843182.5454546,0.0007705940666026841,0.770594066602684,0.002126066789960514,2.126066789960514,395771904.0,98942976.0
16,16-bit weight+KV,deepseek_v4_pro,DeepSeek-V4-Pro,DeepSeek-V4-Pro 16-bit weight+KV theoretical deployment,deepseek_v4_pro_16bit.json,ragged_R1,1,1048576,false,ragged,padded,last,True,4,,,1,"[128, 512, 2048, 64]",2752,8192,2239840.0,8392704.0,4,4,0.3359375,0.26687942288921424,819422866440192.0,3144446989312.0,3278250988544.0,297755402049.48834,1142604283.906977,1191224923.1627908,0.003837392289249115,3.837392289249115,0.00400068282544477,4.00068282544477,51106816.0,12776704.0
16,16-bit weight+KV,deepseek_v4_pro,DeepSeek-V4-Pro,DeepSeek-V4-Pro 16-bit weight+KV theoretical deployment,deepseek_v4_pro_16bit.json,ragged_R2,2,1048576,false,ragged,padded,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,16384,8981248.0,33562624.0,4,4,0.34375,0.26759671711008054,1675470296842240.0,3144768557056.0,3555470217216.0,297491174865.4545,558375098.909091,631297978.909091,0.0018769467671154467,1.8769467671154467,0.00212207296298657,2.1220729629865698,79335424.0,19833856.0
16,16-bit weight+KV,glm_5_2,GLM-5.2,GLM-5.2 MLA+DSA IndexShare 16-bit weight+KV theoretical deployment,glm_5_2_dsa_16bit.json,ragged_R1,1,1048576,false,ragged,padded,last,True,4,,,1,"[128, 512, 2048, 64]",2752,8192,2239840.0,8392704.0,4,4,0.3359375,0.26687942288921424,737277149270016.0,1485211238400.0,2284465225728.0,267905940868.4651,539684316.2790698,830110910.5116279,0.002014454455655542,2.014454455655542,0.0030985162472346624,3.0985162472346626,262078464.0,65519616.0
16,16-bit weight+KV,glm_5_2,GLM-5.2,GLM-5.2 MLA+DSA IndexShare 16-bit weight+KV theoretical deployment,glm_5_2_dsa_16bit.json,ragged_R2,2,1048576,false,ragged,padded,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,16384,8981248.0,33562624.0,4,4,0.34375,0.26759671711008054,1568533337776128.0,1485586169856.0,3927687168000.0,278503788667.63635,263775953.45454547,697387636.3636363,0.000947118007681156,0.947118007681156,0.0025040508055561564,2.5040508055561563,536346624.0,134086656.0
16,16-bit weight+KV,qwen3_235b_a22b,Qwen3-235B-A22B,Qwen3-235B-A22B 16-bit weight+KV theoretical deployment,qwen3_235b_a22b_16bit.json,ragged_R1,1,40960,false,ragged,padded,last,True,4,,,1,"[128, 512, 2048, 64]",2752,8192,2239840.0,8392704.0,4,4,0.3359375,0.26687942288921424,369024005308416.0,469537914880.0,2085234147328.0,134093025184.74419,170616974.88372093,757715896.5581396,0.0012723776993520473,1.2723776993520473,0.005650673444902973,5.650673444902973,529793024.0,132448256.0
16,16-bit weight+KV,qwen3_235b_a22b,Qwen3-235B-A22B,Qwen3-235B-A22B 16-bit weight+KV theoretical deployment,qwen3_235b_a22b_16bit.json,ragged_R2,2,40960,false,ragged,padded,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,16384,8981248.0,33562624.0,4,4,0.34375,0.26759671711008054,789720078483456.0,470159458304.0,6931367329792.0,140220184389.81818,83480017.45454545,1230711528.7272727,0.0005953495056208697,0.5953495056208697,0.00877699265681923,8.77699265681923,1084227584.0,271056896.0
16,16-bit weight+KV,llama_3_3_70b,Llama-3.3-70B,Llama-3.3-70B-Instruct 16-bit weight+KV theoretical deployment,llama_3_3_70b_16bit.json,ragged_R1,1,131072,false,ragged,padded,last,True,4,,,1,"[128, 512, 2048, 64]",2752,8192,2239840.0,8392704.0,4,4,0.3359375,0.26687942288921424,1143511235690496.0,140039421952.0,2890160668672.0,415520071108.4651,50886417.86046511,1050203731.3488371,0.00012246440400512446,0.12246440400512447,0.0025274440499282107,2.5274440499282105,901775360.0,225443840.0
16,16-bit weight+KV,llama_3_3_70b,Llama-3.3-70B,Llama-3.3-70B-Instruct 16-bit weight+KV theoretical deployment,llama_3_3_70b_16bit.json,ragged_R2,2,131072,false,ragged,padded,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,16384,8981248.0,33562624.0,4,4,0.34375,0.26759671711008054,2330994531106816.0,141117358080.0,11138917990400.0,413883972142.5455,25056349.090909094,1977790836.3636363,6.0539549191045875e-05,0.06053954919104587,0.004778611807858235,4.778611807858234,1845493760.0,461373440.0
16,16-bit weight+KV,qwen3_8b,Qwen3-8B,Qwen3-8B 16-bit weight+KV theoretical deployment,qwen3_8b_16bit.json,ragged_R1,1,40960,false,ragged,padded,last,True,4,,,1,"[128, 512, 2048, 64]",2752,8192,2239840.0,8392704.0,4,4,0.3359375,0.26687942288921424,118754650357760.0,15609102336.0,1253163663360.0,43152125856.74419,5671912.186046512,455364703.2558139,0.00013143992499641953,0.13143992499641954,0.010552543917941082,10.552543917941081,405798912.0,101449728.0
16,16-bit weight+KV,qwen3_8b,Qwen3-8B,Qwen3-8B 16-bit weight+KV theoretical deployment,qwen3_8b_16bit.json,ragged_R2,2,40960,false,ragged,padded,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,16384,8981248.0,33562624.0,4,4,0.34375,0.26759671711008054,247399926726656.0,16100884480.0,4965111169024.0,43927543808.00001,2858821.8181818184,881589341.090909,6.508039308269212e-05,0.06508039308269212,0.020069169925461566,20.069169925461566,830472192.0,207618048.0
16,16-bit weight+KV,qwen3_4b,Qwen3-4B,Qwen3-4B 16-bit weight+KV theoretical deployment,qwen3_4b_16bit.json,ragged_R1,1,40960,false,ragged,padded,last,True,4,,,1,"[128, 512, 2048, 64]",2752,8192,2239840.0,8392704.0,4,4,0.3359375,0.26687942288921424,64481576615936.0,8492285952.0,1246046846976.0,23430805456.37209,3085859.720930232,452778650.7906977,0.00013170096634859907,0.13170096634859907,0.01932407537733889,19.32407537733889,405798912.0,101449728.0
16,16-bit weight+KV,qwen3_4b,Qwen3-4B,Qwen3-4B 16-bit weight+KV theoretical deployment,qwen3_4b_16bit.json,ragged_R2,2,40960,false,ragged,padded,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,16384,8981248.0,33562624.0,4,4,0.34375,0.26759671711008054,138855646232576.0,8958902272.0,4957969186816.0,24654766731.636364,1590714.1818181819,880321233.4545454,6.451953892457713e-05,0.06451953892457714,0.03570592425540737,35.70592425540737,830472192.0,207618048.0
16,16-bit weight+KV,qwen3_next_80b_a3b,Qwen3-Next-80B-A3B,Qwen3-Next-80B-A3B-Instruct hybrid DeltaNet+GQA 16-bit weight+KV theoretical deployment,qwen3_next_80b_a3b_16bit.json,ragged_R1,1,262144,false,ragged,padded,last,True,4,,,1,"[128, 512, 2048, 64]",2752,8192,2239840.0,8392704.0,4,4,0.3359375,0.26687942288921424,56024432115712.0,158987649024.0,365246742528.0,20357715158.32558,57771674.79069767,132720473.30232558,0.0028378270518767484,2.8378270518767486,0.006519418916618824,6.519418916618824,228065280.0,57016320.0
16,16-bit weight+KV,qwen3_next_80b_a3b,Qwen3-Next-80B-A3B,Qwen3-Next-80B-A3B-Instruct hybrid DeltaNet+GQA 16-bit weight+KV theoretical deployment,qwen3_next_80b_a3b_16bit.json,ragged_R2,2,262144,false,ragged,padded,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,16384,8981248.0,33562624.0,4,4,0.34375,0.26759671711008054,115344909795328.0,159091982336.0,983927029760.0,20480275176.727272,28247866.18181818,174702952.72727272,0.0013792718085115184,1.3792718085115183,0.008530302997383362,8.530302997383362,298844160.0,74711040.0
16,16-bit weight+KV,mamba_2_8b,Mamba-2.8B,state-spaces Mamba-2.8B 16-bit weight+KV theoretical deployment,mamba_2_8b_16bit.json,ragged_R1,1,,false,ragged,padded,last,True,4,,,1,"[128, 512, 2048, 64]",2752,8192,2239840.0,8392704.0,4,4,0.3359375,0.26687942288921424,43449992642560.0,5629419520.0,5629419520.0,15788514768.372091,2045573.9534883723,2045573.9534883723,0.00012956088545998712,0.12956088545998712,0.00012956088545998712,0.12956088545998712,52428800.0,13107200.0
16,16-bit weight+KV,mamba_2_8b,Mamba-2.8B,state-spaces Mamba-2.8B 16-bit weight+KV theoretical deployment,mamba_2_8b_16bit.json,ragged_R2,2,,false,ragged,padded,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,16384,8981248.0,33562624.0,4,4,0.34375,0.26759671711008054,86898955550720.0,5671362560.0,5671362560.0,15429502050.90909,1006989.0909090909,1006989.0909090909,6.526387485393672e-05,0.06526387485393671,6.526387485393672e-05,0.06526387485393671,52428800.0,13107200.0
