precision_bits,profile,model_id,model_label,model_name,config_file,trace_id,x_value,official_max_context_tokens,is_extrapolated,experiment,execution_mode,logits_mode,include_self_attention,batch,prompt_length,token_budget,ragged_trace_index,prompt_lengths,valid_input_tokens,executed_input_tokens,valid_causal_pair_slots,executed_causal_pair_slots,valid_logit_positions,executed_logit_positions,token_efficiency,causal_pair_efficiency,total_flops,total_compulsory_bytes,total_operand_bytes,flops_per_input_token,compulsory_bytes_per_input_token,operand_bytes_per_input_token,bytes_per_flop,tbps_per_pflops,operand_bytes_per_flop,operand_tbps_per_pflops,cache_bytes_total,cache_bytes_per_request
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,ragged_R1,1,131072,false,ragged,varlen,last,True,4,,,1,"[128, 512, 2048, 64]",2752,2752,2239840.0,2239840.0,4,4,1.0,1.0,234544101326848.0,1340430278656.0,1497828315136.0,85226781005.39536,487074955.90697676,544269009.8604652,0.005715045789141586,5.715045789141586,0.006386126560687652,6.386126560687653,193388544.0,48347136.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,ragged_R2,2,131072,false,ragged,varlen,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,5632,8981248.0,8981248.0,4,4,1.0,1.0,554702032863232.0,1340673949696.0,1971804209152.0,98491127994.18182,238045800.72727272,350107281.45454544,0.0024169263320990174,2.4169263320990173,0.003554708820831328,3.554708820831328,395771904.0,98942976.0
16,16-bit weight+KV,deepseek_v4_pro,DeepSeek-V4-Pro,DeepSeek-V4-Pro 16-bit weight+KV theoretical deployment,deepseek_v4_pro_16bit.json,ragged_R1,1,1048576,false,ragged,varlen,last,True,4,,,1,"[128, 512, 2048, 64]",2752,2752,2239840.0,2239840.0,4,4,1.0,1.0,273719390109696.0,3144369001472.0,3183223461888.0,99461987685.2093,1142575945.3023257,1156694571.9069767,0.011487563961807237,11.487563961807238,0.011629513936196807,11.629513936196807,51106816.0,12776704.0
16,16-bit weight+KV,deepseek_v4_pro,DeepSeek-V4-Pro,DeepSeek-V4-Pro 16-bit weight+KV theoretical deployment,deepseek_v4_pro_16bit.json,ragged_R2,2,1048576,false,ragged,varlen,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,5632,8981248.0,8981248.0,4,4,1.0,1.0,570105149784064.0,3144614416384.0,3262970339328.0,101226056424.72726,558347730.1818182,579362631.2727274,0.005515849870107419,5.515849870107419,0.005723453542848893,5.723453542848893,79335424.0,19833856.0
16,16-bit weight+KV,glm_5_2,GLM-5.2,GLM-5.2 MLA+DSA IndexShare 16-bit weight+KV theoretical deployment,glm_5_2_dsa_16bit.json,ragged_R1,1,1048576,false,ragged,varlen,last,True,4,,,1,"[128, 512, 2048, 64]",2752,2752,2239840.0,2239840.0,4,4,1.0,1.0,241287814967520.0,1485144391680.0,1698448834560.0,87677258345.75581,539660026.0465117,617168907.9069767,0.0061550741461184715,6.155074146118471,0.007039099072568708,7.039099072568708,262078464.0,65519616.0
16,16-bit weight+KV,glm_5_2,GLM-5.2,GLM-5.2 MLA+DSA IndexShare 16-bit weight+KV theoretical deployment,glm_5_2_dsa_16bit.json,ragged_R2,2,1048576,false,ragged,varlen,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,5632,8981248.0,8981248.0,4,4,1.0,1.0,519528263427840.0,1485454049280.0,2152222556160.0,92245785409.77274,263752494.54545456,382141789.09090906,0.002859236260755085,2.8592362607550847,0.00414264768187907,4.14264768187907,536346624.0,134086656.0
16,16-bit weight+KV,qwen3_235b_a22b,Qwen3-235B-A22B,Qwen3-235B-A22B 16-bit weight+KV theoretical deployment,qwen3_235b_a22b_16bit.json,ragged_R1,1,40960,false,ragged,varlen,last,True,4,,,1,"[128, 512, 2048, 64]",2752,2752,2239840.0,2239840.0,4,4,1.0,1.0,122187077910528.0,469493350400.0,900689428480.0,44399374240.74419,170600781.39534885,327285402.7906977,0.0038424140950795833,3.842414095079583,0.007371396745730621,7.371396745730621,529793024.0,132448256.0
16,16-bit weight+KV,qwen3_235b_a22b,Qwen3-235B-A22B,Qwen3-235B-A22B 16-bit weight+KV theoretical deployment,qwen3_235b_a22b_16bit.json,ragged_R2,2,40960,false,ragged,varlen,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,5632,8981248.0,8981248.0,4,4,1.0,1.0,263596869156864.0,470071377920.0,2199069392896.0,46803421370.181816,83464378.18181819,390459764.3636364,0.0017832965141944268,1.7832965141944268,0.008342547466249892,8.342547466249892,1084227584.0,271056896.0
16,16-bit weight+KV,llama_3_3_70b,Llama-3.3-70B,Llama-3.3-70B-Instruct 16-bit weight+KV theoretical deployment,llama_3_3_70b_16bit.json,ragged_R1,1,131072,false,ragged,varlen,last,True,4,,,1,"[128, 512, 2048, 64]",2752,2752,2239840.0,2239840.0,4,4,1.0,1.0,382634542759936.0,139950292992.0,873901064192.0,139038714665.67444,50854030.88372093,317551258.79069763,0.0003657544663441546,0.36575446634415465,0.002283905310504816,2.283905310504816,901775360.0,225443840.0
16,16-bit weight+KV,llama_3_3_70b,Llama-3.3-70B,Llama-3.3-70B-Instruct 16-bit weight+KV theoretical deployment,llama_3_3_70b_16bit.json,ragged_R2,2,131072,false,ragged,varlen,last,True,4,,,2,"[256, 256, 1024, 4096]",5632,5632,8981248.0,8981248.0,4,4,1.0,1.0,794584737120256.0,140941197312.0,3083916541952.0,141083937698.9091,25025070.545454547,547570408.7272727,0.0001773771766908094,0.1773771766908094,0.0038811676060237065,3.8811676060237064,1845493760.0,461373440.0
