precision_bits,profile,model_id,model_label,model_name,config_file,trace_id,x_value,official_max_context_tokens,is_extrapolated,experiment,execution_mode,logits_mode,include_self_attention,batch,prompt_length,token_budget,ragged_trace_index,prompt_lengths,valid_input_tokens,executed_input_tokens,valid_causal_pair_slots,executed_causal_pair_slots,valid_logit_positions,executed_logit_positions,token_efficiency,causal_pair_efficiency,total_flops,total_compulsory_bytes,total_operand_bytes,flops_per_input_token,compulsory_bytes_per_input_token,operand_bytes_per_input_token,bytes_per_flop,tbps_per_pflops,operand_bytes_per_flop,operand_tbps_per_pflops,cache_bytes_total,cache_bytes_per_request
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B1,1,131072,false,token-budget,varlen,last,True,1,,4096,,[4096],4096,4096,8390656.0,8390656.0,1,1,1.0,1.0,434998187917312.0,1340543991808.0,1930172170240.0,106200729472.0,327281248.0,471233440.0,0.00308172316355217,3.08172316355217,0.00443719588691,4.43719588691,287834112.0,287834112.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B4,4,131072,false,token-budget,varlen,last,True,4,,4096,,"[1024, 1024, 1024, 1024]",4096,4096,2099200.0,2099200.0,4,4,1.0,1.0,328110601928704.0,1340543991808.0,1488058974208.0,80105127424.0,327281248.0,363295648.0,0.0040856466811130055,4.085646681113006,0.0045352358791848615,4.535235879184862,287834112.0,71958528.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B16,16,131072,false,token-budget,varlen,last,True,16,,4096,,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",4096,4096,526336.0,526336.0,16,16,1.0,1.0,301409555709952.0,1340543991808.0,1377530675200.0,73586317312.0,327281248.0,336311200.0,0.004447582919693537,4.447582919693537,0.004570295297888979,4.570295297888979,287834112.0,17989632.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B32,32,131072,false,token-budget,varlen,last,True,32,,4096,,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",4096,4096,264192.0,264192.0,32,32,1.0,1.0,296985328353280.0,1340543991808.0,1359109292032.0,72506183680.0,327281248.0,331813792.0,0.004513839115356402,4.513839115356402,0.0045763516318060886,4.576351631806088,287834112.0,8994816.0
16,16-bit weight+KV,deepseek_v4_pro,DeepSeek-V4-Pro,DeepSeek-V4-Pro 16-bit weight+KV theoretical deployment,deepseek_v4_pro_16bit.json,token_budget_T4096_B1,1,1048576,false,token-budget,varlen,last,True,1,,4096,,[4096],4096,4096,8390656.0,8390656.0,1,1,1.0,1.0,418867574210560.0,3144483536896.0,3247158951936.0,102262591360.0,767696176.0,792763416.0,0.007507106614357557,7.507106614357557,0.0077522328102286805,7.752232810228681,42434560.0,42434560.0
16,16-bit weight+KV,deepseek_v4_pro,DeepSeek-V4-Pro,DeepSeek-V4-Pro 16-bit weight+KV theoretical deployment,deepseek_v4_pro_16bit.json,token_budget_T4096_B4,4,1048576,false,token-budget,varlen,last,True,4,,4096,,"[1024, 1024, 1024, 1024]",4096,4096,2099200.0,2099200.0,4,4,1.0,1.0,404941183123456.0,3144483536896.0,3192737267712.0,98862593536.0,767696176.0,779476872.0,0.007765284609091807,7.7652846090918075,0.007884446929021339,7.884446929021339,66420736.0,16605184.0
16,16-bit weight+KV,deepseek_v4_pro,DeepSeek-V4-Pro,DeepSeek-V4-Pro 16-bit weight+KV theoretical deployment,deepseek_v4_pro_16bit.json,token_budget_T4096_B16,16,1048576,false,token-budget,varlen,last,True,16,,4096,,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",4096,4096,526336.0,526336.0,16,16,1.0,1.0,400018238341120.0,3144483536896.0,3173420138496.0,97660702720.0,767696176.0,774760776.0,0.007860850420061363,7.860850420061364,0.007933188625739187,7.933188625739187,162365440.0,10147840.0
16,16-bit weight+KV,deepseek_v4_pro,DeepSeek-V4-Pro,DeepSeek-V4-Pro 16-bit weight+KV theoretical deployment,deepseek_v4_pro_16bit.json,token_budget_T4096_B32,32,1048576,false,token-budget,varlen,last,True,32,,4096,,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",4096,4096,264192.0,264192.0,32,32,1.0,1.0,397404071264256.0,3144483536896.0,3163092713472.0,97022478336.0,767696176.0,772239432.0,0.007912559946586602,7.912559946586602,0.007959386785870859,7.9593867858708585,290291712.0,9071616.0
16,16-bit weight+KV,glm_5_2,GLM-5.2,GLM-5.2 MLA+DSA IndexShare 16-bit weight+KV theoretical deployment,glm_5_2_dsa_16bit.json,token_budget_T4096_B1,1,1048576,false,token-budget,varlen,last,True,1,,4096,,[4096],4096,4096,8390656.0,8390656.0,1,1,1.0,1.0,392133334444032.0,1485288898560.0,2095814148096.0,95735677354.5,362619360.0,511673376.0,0.0037877139434367335,3.7877139434367337,0.005344646741311734,5.344646741311734,390070272.0,390070272.0
16,16-bit weight+KV,glm_5_2,GLM-5.2,GLM-5.2 MLA+DSA IndexShare 16-bit weight+KV theoretical deployment,glm_5_2_dsa_16bit.json,token_budget_T4096_B4,4,1048576,false,token-budget,varlen,last,True,4,,4096,,"[1024, 1024, 1024, 1024]",4096,4096,2099200.0,2099200.0,4,4,1.0,1.0,345498234562560.0,1485288898560.0,1685199912960.0,84350154922.5,362619360.0,411425760.0,0.004298976810809307,4.298976810809307,0.004877593412578951,4.8775934125789515,390070272.0,97517568.0
