precision_bits,profile,model_id,model_label,model_name,config_file,trace_id,x_value,official_max_context_tokens,is_extrapolated,phase,experiment,execution_mode,logits_mode,include_self_attention,batch,prompt_lengths,cached_lengths,average_prompt_tokens,max_prompt_tokens,valid_input_tokens,executed_input_tokens,valid_causal_pair_slots,executed_causal_pair_slots,valid_logit_positions,executed_logit_positions,output_head_parameters,output_head_parameters_configured,output_head_weight_bits,topk_cached_prefix_union_policy,token_efficiency,causal_pair_efficiency,total_flops,total_compulsory_bytes,total_operand_bytes,flops_per_input_token,compulsory_bytes_per_input_token,operand_bytes_per_input_token,bytes_per_flop,tbps_per_pflops,operand_bytes_per_flop,operand_tbps_per_pflops,cache_bytes_total,kv_cache_bytes_total,index_cache_bytes_total,state_cache_bytes_total,cache_bytes_per_request,kv_cache_bytes_per_request,index_cache_bytes_per_request,state_cache_bytes_per_request,expert_weight_sets_read,useful_expert_weight_sets_read,batch_parameter_flops,batch_attention_flops,batch_index_flops,batch_state_flops,batch_extra_flops,batch_weight_read_bytes,batch_kv_read_bytes,batch_kv_write_bytes,batch_index_read_bytes,batch_index_write_bytes,batch_state_read_bytes,batch_state_write_bytes,batch_activation_bytes,batch_other_read_bytes,batch_total_flops,batch_total_bytes,useful_parameter_flops,useful_attention_flops,useful_index_flops,useful_state_flops,useful_extra_flops,useful_weight_read_bytes,useful_kv_read_bytes,useful_kv_write_bytes,useful_index_read_bytes,useful_index_write_bytes,useful_state_read_bytes,useful_state_write_bytes,useful_activation_bytes,useful_other_read_bytes,useful_total_flops,useful_total_bytes,per_input_parameter_flops,per_input_attention_flops,per_input_index_flops,per_input_state_flops,per_input_extra_flops,per_input_weight_read_bytes,per_input_kv_read_bytes,per_input_kv_write_bytes,per_input_index_read_bytes,per_input_index_write_bytes,per_input_state_read_bytes,per_input_state_write_bytes,per_input_activation_bytes,per_input_other_read_bytes,per_input_total_flops,per_input_total_bytes,batch_operand_parameter_flops,batch_operand_attention_flops,batch_operand_index_flops,batch_operand_state_flops,batch_operand_extra_flops,batch_operand_weight_read_bytes,batch_operand_kv_read_bytes,batch_operand_kv_write_bytes,batch_operand_index_read_bytes,batch_operand_index_write_bytes,batch_operand_state_read_bytes,batch_operand_state_write_bytes,batch_operand_activation_bytes,batch_operand_other_read_bytes,batch_operand_total_flops,batch_operand_total_bytes,useful_operand_parameter_flops,useful_operand_attention_flops,useful_operand_index_flops,useful_operand_state_flops,useful_operand_extra_flops,useful_operand_weight_read_bytes,useful_operand_kv_read_bytes,useful_operand_kv_write_bytes,useful_operand_index_read_bytes,useful_operand_index_write_bytes,useful_operand_state_read_bytes,useful_operand_state_write_bytes,useful_operand_activation_bytes,useful_operand_other_read_bytes,useful_operand_total_flops,useful_operand_total_bytes,per_input_operand_parameter_flops,per_input_operand_attention_flops,per_input_operand_index_flops,per_input_operand_state_flops,per_input_operand_extra_flops,per_input_operand_weight_read_bytes,per_input_operand_kv_read_bytes,per_input_operand_kv_write_bytes,per_input_operand_index_read_bytes,per_input_operand_index_write_bytes,per_input_operand_state_read_bytes,per_input_operand_state_write_bytes,per_input_operand_activation_bytes,per_input_operand_other_read_bytes,per_input_operand_total_flops,per_input_operand_total_bytes
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B1,1,131072,false,prefill,token-budget,varlen,last,True,1,[4096],[0],4096.0,4096,4096,4096,8390656.0,8390656.0,1,1,926679040.0,True,16.0,not_applicable,1.0,1.0,434998187917312.0,1340543991808.0,1930172170240.0,106200729472.0,327281248.0,471233440.0,0.00308172316355217,3.08172316355217,0.00443719588691,4.43719588691,287834112.0,287834112.0,0.0,0.0,287834112.0,287834112.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",292439197220864.0,142558990696448.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,434998187917312.0,1340543991808.0,292439197220864.0,142558990696448.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,434998187917312.0,1340543991808.0,71396288384.0,34804441088.0,0.0,0.0,0.0,327196640.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,106200729472.0,327281248.0,292439197220864.0,142558990696448.0,0.0,0.0,0.0,1340197437440.0,589628178432.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,434998187917312.0,1930172170240.0,292439197220864.0,142558990696448.0,0.0,0.0,0.0,1340197437440.0,589628178432.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,434998187917312.0,1930172170240.0,71396288384.0,34804441088.0,0.0,0.0,0.0,327196640.0,143952192.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,106200729472.0,471233440.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B4,4,131072,false,prefill,token-budget,varlen,last,True,4,"[1024, 1024, 1024, 1024]","[0, 0, 0, 0]",1024.0,1024,4096,4096,2099200.0,2099200.0,4,4,926679040.0,True,16.0,not_applicable,1.0,1.0,328110601928704.0,1340543991808.0,1488058974208.0,80105127424.0,327281248.0,363295648.0,0.0040856466811130055,4.085646681113006,0.0045352358791848615,4.535235879184862,287834112.0,287834112.0,0.0,0.0,71958528.0,71958528.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",292444757295104.0,35665844633600.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,328110601928704.0,1340543991808.0,292444757295104.0,35665844633600.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,328110601928704.0,1340543991808.0,71397645824.0,8707481600.0,0.0,0.0,0.0,327196640.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,80105127424.0,327281248.0,292444757295104.0,35665844633600.0,0.0,0.0,0.0,1340197437440.0,147514982400.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,328110601928704.0,1488058974208.0,292444757295104.0,35665844633600.0,0.0,0.0,0.0,1340197437440.0,147514982400.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,328110601928704.0,1488058974208.0,71397645824.0,8707481600.0,0.0,0.0,0.0,327196640.0,36014400.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,80105127424.0,363295648.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B16,16,131072,false,prefill,token-budget,varlen,last,True,16,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",256.0,256,4096,4096,526336.0,526336.0,16,16,926679040.0,True,16.0,not_applicable,1.0,1.0,301409555709952.0,1340543991808.0,1377530675200.0,73586317312.0,327281248.0,336311200.0,0.004447582919693537,4.447582919693537,0.004570295297888979,4.570295297888979,287834112.0,287834112.0,0.0,0.0,17989632.0,17989632.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",292466997592064.0,8942558117888.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,301409555709952.0,1340543991808.0,292466997592064.0,8942558117888.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,301409555709952.0,1340543991808.0,71403075584.0,2183241728.0,0.0,0.0,0.0,327196640.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,73586317312.0,327281248.0,292466997592064.0,8942558117888.0,0.0,0.0,0.0,1340197437440.0,36986683392.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,301409555709952.0,1377530675200.0,292466997592064.0,8942558117888.0,0.0,0.0,0.0,1340197437440.0,36986683392.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,301409555709952.0,1377530675200.0,71403075584.0,2183241728.0,0.0,0.0,0.0,327196640.0,9029952.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,73586317312.0,336311200.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T4096_B32,32,131072,false,prefill,token-budget,varlen,last,True,32,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",128.0,128,4096,4096,264192.0,264192.0,32,32,926679040.0,True,16.0,not_applicable,1.0,1.0,296985328353280.0,1340543991808.0,1359109292032.0,72506183680.0,327281248.0,331813792.0,0.004513839115356402,4.513839115356402,0.0045763516318060886,4.576351631806088,287834112.0,287834112.0,0.0,0.0,8994816.0,8994816.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",292496651321344.0,4488677031936.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,296985328353280.0,1340543991808.0,292496651321344.0,4488677031936.0,0.0,0.0,0.0,1340197437440.0,0.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,296985328353280.0,1340543991808.0,71410315264.0,1095868416.0,0.0,0.0,0.0,327196640.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,72506183680.0,327281248.0,292496651321344.0,4488677031936.0,0.0,0.0,0.0,1340197437440.0,18565300224.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,296985328353280.0,1359109292032.0,292496651321344.0,4488677031936.0,0.0,0.0,0.0,1340197437440.0,18565300224.0,287834112.0,0.0,0.0,0.0,0.0,0.0,58720256.0,296985328353280.0,1359109292032.0,71410315264.0,1095868416.0,0.0,0.0,0.0,327196640.0,4532544.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,72506183680.0,331813792.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T16384_B1,1,131072,false,prefill,token-budget,varlen,last,True,1,[16384],[0],16384.0,16384,16384,16384,134225920.0,134225920.0,1,1,926679040.0,True,16.0,not_applicable,1.0,1.0,3450277528600576.0,1341583654912.0,10773907505152.0,210588228064.0,81883768.0,657587128.0,0.00038883354854533773,0.38883354854533775,0.0031226205474322727,3.122620547432273,1151336448.0,1151336448.0,0.0,0.0,1151336448.0,1151336448.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",1169751228809216.0,2280526299791360.0,0.0,0.0,0.0,1340197437440.0,0.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,3450277528600576.0,1341583654912.0,1169751228809216.0,2280526299791360.0,0.0,0.0,0.0,1340197437440.0,0.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,3450277528600576.0,1341583654912.0,71395949024.0,139192279040.0,0.0,0.0,0.0,81799160.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,210588228064.0,81883768.0,1169751228809216.0,2280526299791360.0,0.0,0.0,0.0,1340197437440.0,9432323850240.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,3450277528600576.0,10773907505152.0,1169751228809216.0,2280526299791360.0,0.0,0.0,0.0,1340197437440.0,9432323850240.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,3450277528600576.0,10773907505152.0,71395949024.0,139192279040.0,0.0,0.0,0.0,81799160.0,575703360.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,210588228064.0,657587128.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T16384_B4,4,131072,false,prefill,token-budget,varlen,last,True,4,"[4096, 4096, 4096, 4096]","[0, 0, 0, 0]",4096.0,4096,16384,16384,33562624.0,33562624.0,4,4,926679040.0,True,16.0,not_applicable,1.0,1.0,1739992751669248.0,1341583654912.0,3700096368640.0,106200729472.0,81883768.0,225835960.0,0.0007710283009081288,0.7710283009081288,0.002126501024265959,2.1265010242659588,1151336448.0,1151336448.0,0.0,0.0,287834112.0,287834112.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",1169756788883456.0,570235962785792.0,0.0,0.0,0.0,1340197437440.0,0.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1739992751669248.0,1341583654912.0,1169756788883456.0,570235962785792.0,0.0,0.0,0.0,1340197437440.0,0.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1739992751669248.0,1341583654912.0,71396288384.0,34804441088.0,0.0,0.0,0.0,81799160.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,106200729472.0,81883768.0,1169756788883456.0,570235962785792.0,0.0,0.0,0.0,1340197437440.0,2358512713728.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1739992751669248.0,3700096368640.0,1169756788883456.0,570235962785792.0,0.0,0.0,0.0,1340197437440.0,2358512713728.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1739992751669248.0,3700096368640.0,71396288384.0,34804441088.0,0.0,0.0,0.0,81799160.0,143952192.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,106200729472.0,225835960.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T16384_B16,16,131072,false,prefill,token-budget,varlen,last,True,16,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1024.0,1024,16384,16384,8396800.0,8396800.0,16,16,926679040.0,True,16.0,not_applicable,1.0,1.0,1312442407714816.0,1341583654912.0,1931643584512.0,80105127424.0,81883768.0,117898168.0,0.0010222038293077743,1.0222038293077744,0.0014717930273796301,1.47179302737963,1151336448.0,1151336448.0,0.0,0.0,71958528.0,71958528.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",1169779029180416.0,142663378534400.0,0.0,0.0,0.0,1340197437440.0,0.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1312442407714816.0,1341583654912.0,1169779029180416.0,142663378534400.0,0.0,0.0,0.0,1340197437440.0,0.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1312442407714816.0,1341583654912.0,71397645824.0,8707481600.0,0.0,0.0,0.0,81799160.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,80105127424.0,81883768.0,1169779029180416.0,142663378534400.0,0.0,0.0,0.0,1340197437440.0,590059929600.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1312442407714816.0,1931643584512.0,1169779029180416.0,142663378534400.0,0.0,0.0,0.0,1340197437440.0,590059929600.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1312442407714816.0,1931643584512.0,71397645824.0,8707481600.0,0.0,0.0,0.0,81799160.0,36014400.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,80105127424.0,117898168.0
16,16-bit weight+KV,deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 16-bit weight+KV theoretical deployment,deepseek_r1_mla_16bit.json,token_budget_T16384_B32,32,131072,false,prefill,token-budget,varlen,last,True,32,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",512.0,512,16384,16384,4202496.0,4202496.0,32,32,926679040.0,True,16.0,not_applicable,1.0,1.0,1241209964068864.0,1341583654912.0,1636901453824.0,75757444096.0,81883768.0,99908536.0,0.0010808676160752825,1.0808676160752826,0.00131879496717703,1.31879496717703,1151336448.0,1151336448.0,0.0,0.0,35979264.0,35979264.0,0.0,0.0,"{""routed_ffn_experts"":256.0}","{""routed_ffn_experts"":256.0}",1169808682909696.0,71401281159168.0,0.0,0.0,0.0,1340197437440.0,0.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1241209964068864.0,1341583654912.0,1169808682909696.0,71401281159168.0,0.0,0.0,0.0,1340197437440.0,0.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1241209964068864.0,1341583654912.0,71399455744.0,4357988352.0,0.0,0.0,0.0,81799160.0,0.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,75757444096.0,81883768.0,1169808682909696.0,71401281159168.0,0.0,0.0,0.0,1340197437440.0,295317798912.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1241209964068864.0,1636901453824.0,1169808682909696.0,71401281159168.0,0.0,0.0,0.0,1340197437440.0,295317798912.0,1151336448.0,0.0,0.0,0.0,0.0,0.0,234881024.0,1241209964068864.0,1636901453824.0,71399455744.0,4357988352.0,0.0,0.0,0.0,81799160.0,18024768.0,70272.0,0.0,0.0,0.0,0.0,0.0,14336.0,75757444096.0,99908536.0
16,16-bit weight+KV,deepseek_v4_pro,DeepSeek-V4-Pro,DeepSeek-V4-Pro 16-bit weight+KV theoretical deployment,deepseek_v4_pro_16bit.json,token_budget_T4096_B1,1,1048576,false,prefill,token-budget,varlen,last,True,1,[4096],[0],4096.0,4096,4096,4096,8390656.0,8390656.0,1,1,926679040.0,True,16.0,not_applicable,1.0,1.0,418867574210560.0,3144483536896.0,3247158951936.0,102262591360.0,767696176.0,792763416.0,0.007507106614357557,7.507106614357557,0.0077522328102286805,7.752232810228681,42434560.0,40468480.0,1966080.0,0.0,42434560.0,40468480.0,1966080.0,0.0,"{""16bit_routed_experts"":384.0}","{""16bit_routed_experts"":384.0}",392582667960320.0,25254617415680.0,1030288834560.0,0.0,0.0,3144134524928.0,0.0,288325632.0,0.0,1966080.0,0.0,0.0,0.0,58720256.0,418867574210560.0,3144483536896.0,392582667960320.0,25254617415680.0,1030288834560.0,0.0,0.0,3144134524928.0,0.0,288325632.0,0.0,1966080.0,0.0,0.0,0.0,58720256.0,418867574210560.0,3144483536896.0,95845377920.0,6165678080.0,251535360.0,0.0,0.0,767610968.0,0.0,70392.0,0.0,480.0,0.0,0.0,0.0,14336.0,102262591360.0,767696176.0,392582667960320.0,25254617415680.0,1030288834560.0,0.0,0.0,3144134524928.0,98650849280.0,288325632.0,4024565760.0,1966080.0,0.0,0.0,0.0,58720256.0,418867574210560.0,3247158951936.0,392582667960320.0,25254617415680.0,1030288834560.0,0.0,0.0,3144134524928.0,98650849280.0,288325632.0,4024565760.0,1966080.0,0.0,0.0,0.0,58720256.0,418867574210560.0,3247158951936.0,95845377920.0,6165678080.0,251535360.0,0.0,0.0,767610968.0,24084680.0,70392.0,982560.0,480.0,0.0,0.0,0.0,14336.0,102262591360.0,792763416.0
16,16-bit weight+KV,deepseek_v4_pro,DeepSeek-V4-Pro,DeepSeek-V4-Pro 16-bit weight+KV theoretical deployment,deepseek_v4_pro_16bit.json,token_budget_T4096_B4,4,1048576,false,prefill,token-budget,varlen,last,True,4,"[1024, 1024, 1024, 1024]","[0, 0, 0, 0]",1024.0,1024,4096,4096,2099200.0,2099200.0,4,4,926679040.0,True,16.0,not_applicable,1.0,1.0,404941183123456.0,3144483536896.0,3192737267712.0,98862593536.0,767696176.0,779476872.0,0.007765284609091807,7.7652846090918075,0.007884446929021339,7.884446929021339,66420736.0,64454656.0,1966080.0,0.0,16605184.0,16113664.0,491520.0,0.0,"{""16bit_routed_experts"":384.0}","{""16bit_routed_experts"":384.0}",392588228034560.0,12095760367616.0,257194721280.0,0.0,0.0,3144134524928.0,0.0,288325632.0,0.0,1966080.0,0.0,0.0,0.0,58720256.0,404941183123456.0,3144483536896.0,392588228034560.0,12095760367616.0,257194721280.0,0.0,0.0,3144134524928.0,0.0,288325632.0,0.0,1966080.0,0.0,0.0,0.0,58720256.0,404941183123456.0,3144483536896.0,95846735360.0,2953066496.0,62791680.0,0.0,0.0,767610968.0,0.0,70392.0,0.0,480.0,0.0,0.0,0.0,14336.0,98862593536.0,767696176.0,392588228034560.0,12095760367616.0,257194721280.0,0.0,0.0,3144134524928.0,47249063936.0,288325632.0,1004666880.0,1966080.0,0.0,0.0,0.0,58720256.0,404941183123456.0,3192737267712.0,392588228034560.0,12095760367616.0,257194721280.0,0.0,0.0,3144134524928.0,47249063936.0,288325632.0,1004666880.0,1966080.0,0.0,0.0,0.0,58720256.0,404941183123456.0,3192737267712.0,95846735360.0,2953066496.0,62791680.0,0.0,0.0,767610968.0,11535416.0,70392.0,245280.0,480.0,0.0,0.0,0.0,14336.0,98862593536.0,779476872.0
